t,active_cpu_fog,fog_capacity,pressure,predicted_pressure,prediction_uncertainty,tasks_placed_fog,tasks_placed_cloud,scale_decision,scale_up_total,scale_down_total,energy_joules_cumul,offload_ratio,fog_f0_p,fog_f0_load,fog_f0_power,fog_f1_p,fog_f1_load,fog_f1_power,fog_f2_p,fog_f2_load,fog_f2_power,fog_f3_p,fog_f3_load,fog_f3_power,fog_f4_p,fog_f4_load,fog_f4_power,cloud_c0_load,cloud_c1_load
0,0.0,235.0,0.0,0.0,0.1,2,0,down,0,1,174.50505050505052,0.0,0.8181818181818182,90.0,152.72727272727275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017777777777777778,1.3333333333333333,21.77777777777778,0.0,0.0
1,91.33333333333333,185.0,0.49369369369369365,0.0,0.1,1,0,none,0,1,437.01010101010104,0.0,0.8181818181818182,90.0,152.72727272727275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8977777777777777,67.33333333333333,109.77777777777777,0.0,0.0
2,157.33333333333331,185.0,0.8504504504504503,0.0,0.1,1,1,none,0,1,701.3333333333334,0.5,0.8303030303030302,91.33333333333333,154.54545454545453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8977777777777777,67.33333333333333,109.77777777777777,25.0,0.0
3,68.66666666666666,185.0,0.3711711711711711,0.0,0.1,2,0,none,0,1,973.3838383838385,0.0,0.8818181818181818,97.0,162.27272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8977777777777777,67.33333333333333,109.77777777777777,25.0,0.0
4,97.0,185.0,0.5243243243243243,0.0,0.1,2,0,down,0,2,1139.2929292929293,0.0,0.906060606060606,99.66666666666666,165.9090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,99.66666666666666,110.0,0.906060606060606,0.2718181818181818,0.1,0,1,none,0,2,1305.2020202020203,1.0,0.906060606060606,99.66666666666666,165.9090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0
6,2.666666666666657,110.0,0.024242424242424156,0.2718181818181818,0.1,3,0,none,0,2,1375.2020202020203,0.0,0.2666666666666666,29.333333333333325,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0
7,29.333333333333325,110.0,0.2666666666666666,0.2718181818181818,0.1,2,1,none,0,2,1513.3838383838386,0.3333333333333333,0.7212121212121212,79.33333333333333,138.1818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.33333333333333,0.0
8,76.66666666666666,110.0,0.6969696969696969,0.2718181818181818,0.1,2,2,none,0,2,1667.0202020202023,0.5,0.8242424242424241,90.66666666666666,153.63636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.66666666666666,0.0
9,13.999999999999986,110.0,0.12727272727272715,0.2718181818181818,0.1,4,1,none,0,2,1837.0202020202023,0.2,0.9333333333333332,102.66666666666666,169.99999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327.3333333333333,0.0
10,102.66666666666666,110.0,0.9333333333333332,0.4702727272727272,0.1,0,6,none,0,2,2007.0202020202023,1.0,0.9333333333333332,102.66666666666666,169.99999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.6666666666667,0.0
11,63.66666666666666,110.0,0.5787878787878787,0.4702727272727272,0.1,1,1,none,0,2,2157.9292929292933,0.5,0.8060606060606059,88.66666666666666,150.90909090909088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.33333333333331,0.0
12,26.33333333333332,110.0,0.2393939393939393,0.4702727272727272,0.1,2,2,none,0,2,2336.1111111111113,0.5,0.9878787878787878,108.66666666666666,178.18181818181816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.66666666666663,0.0
13,82.33333333333333,110.0,0.7484848484848484,0.4702727272727272,0.1,2,0,none,0,2,2507.0202020202023,0.0,0.9393939393939393,103.33333333333333,170.9090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.3333333333333,0.0
