t,active_cpu_fog,fog_capacity,pressure,predicted_pressure,prediction_uncertainty,tasks_placed_fog,tasks_placed_cloud,arrivals,scale_decision,scale_up_total,scale_down_total,energy_joules_cumul,energy_tick,offload_ratio,active_fog_nodes,overloaded,fog_f0_p,fog_f0_load,fog_f0_power,fog_f0_active,fog_f1_p,fog_f1_load,fog_f1_power,fog_f1_active,fog_f2_p,fog_f2_load,fog_f2_power,fog_f2_active,fog_f3_p,fog_f3_load,fog_f3_power,fog_f3_active,fog_f4_p,fog_f4_load,fog_f4_power,fog_f4_active,cloud_c0_load,cloud_c1_load
0,91.33333333333333,235.0,0.38865248226950355,0.0,0.08,2,0,2,none,0,0,189.50505050505052,189.50505050505052,0.0,3,0,0.8181818181818182,90.0,152.72727272727275,1,0.0,0.0,15.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.017777777777777778,1.3333333333333333,21.77777777777778,1,0.0,0.0
1,157.33333333333331,235.0,0.6695035460992907,0.13602836879432623,0.08,1,0,1,none,0,0,467.01010101010104,277.5050505050505,0.0,3,0,0.8181818181818182,90.0,152.72727272727275,1,0.0,0.0,15.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.8977777777777777,67.33333333333333,109.77777777777777,1,0.0,0.0
2,183.66666666666666,235.0,0.7815602836879432,0.3227446808510638,0.08,2,0,2,none,0,0,770.8484848484849,303.83838383838383,0.0,3,0,0.8181818181818182,90.0,152.72727272727275,1,0.5266666666666666,26.333333333333332,41.33333333333333,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.8977777777777777,67.33333333333333,109.77777777777777,1,0.0,0.0
3,189.33333333333334,235.0,0.8056737588652483,0.3492875886524822,0.08,2,0,2,none,0,0,1082.4141414141413,311.5656565656566,0.0,3,0,0.8696969696969697,95.66666666666667,160.45454545454547,1,0.5266666666666666,26.333333333333332,41.33333333333333,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.8977777777777777,67.33333333333333,109.77777777777777,1,0.0,0.0
4,99.66666666666667,235.0,0.42411347517730497,0.3715050177304964,0.08,2,0,2,none,0,0,1282.7575757575758,200.34343434343435,0.0,3,0,0.8696969696969697,95.66666666666667,160.45454545454547,1,0.026666666666666644,1.3333333333333321,16.333333333333332,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.035555555555555556,2.6666666666666665,23.555555555555557,1,0.0,0.0
5,101.0,235.0,0.4297872340425532,0.3899179778368794,0.08,1,0,1,none,0,0,1484.4343434343434,201.67676767676767,0.0,3,0,0.8696969696969697,95.66666666666667,160.45454545454547,1,0.0533333333333333,2.666666666666665,17.666666666666664,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.035555555555555556,2.6666666666666665,23.555555555555557,1,0.0,0.0
6,30.666666666666668,235.0,0.13049645390070921,0.2594041324024823,0.08,3,0,3,none,0,0,1590.6868686868686,106.25252525252526,0.0,3,0,0.24242424242424243,26.666666666666668,66.36363636363637,1,0.026666666666666637,1.333333333333332,16.333333333333332,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.035555555555555556,2.6666666666666665,23.555555555555557,1,0.0,0.0
7,80.66666666666667,235.0,0.3432624113475177,0.2142864449268617,0.08,2,1,3,none,0,0,1764.3636363636363,173.67676767676767,0.3333333333333333,3,0,0.4696969696969697,51.66666666666667,100.45454545454545,1,0.026666666666666637,1.333333333333332,16.333333333333332,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.3688888888888889,27.666666666666668,56.888888888888886,1,66.0,0.0
8,143.33333333333334,235.0,0.6099290780141844,0.25545640196841757,0.08,3,1,4,none,0,0,2018.4848484848485,254.12121212121212,0.25,3,0,0.9363636363636364,103.0,170.45454545454547,1,0.30666666666666664,15.333333333333332,30.333333333333332,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.3333333333333333,25.0,53.33333333333333,1,156.0,0.0
9,154.0,235.0,0.6553191489361702,0.2633516258184785,0.08,4,1,5,none,0,0,2282.7979797979797,264.3131313131313,0.2,3,0,0.6939393939393939,76.33333333333333,134.09090909090907,1,0.5,25.0,40.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.7022222222222223,52.66666666666667,90.22222222222223,1,156.0,120.0
10,214.33333333333334,235.0,0.9120567375886526,0.4005402589096706,0.08,6,0,6,none,0,0,2625.5959595959594,342.7979797979798,0.0,3,0,0.9727272727272728,107.0,175.9090909090909,1,0.6733333333333333,33.666666666666664,48.666666666666664,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.9822222222222223,73.66666666666667,118.22222222222223,1,90.0,120.0
11,149.0,235.0,0.6340425531914894,0.34813321538631997,0.20488550392200572,1,1,2,none,0,0,2884.393939393939,258.7979797979798,0.5,3,0,0.506060606060606,55.66666666666666,105.90909090909089,1,0.3933333333333333,19.666666666666664,34.666666666666664,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.9822222222222223,73.66666666666667,118.22222222222223,1,0.0,81.0
12,114.33333333333333,235.0,0.48652482269503544,0.3371357506874922,0.1994894946775546,2,2,4,none,0,0,3100.9898989898984,216.59595959595958,0.5,3,0,0.7454545454545455,82.0,141.8181818181818,1,0.19999999999999996,9.999999999999998,25.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.2977777777777778,22.333333333333336,49.777777777777786,1,81.0,201.0
13,73.66666666666666,235.0,0.3134751773049645,0.32742603874807225,0.19387940434539888,2,0,2,none,0,0,3264.323232323232,163.33333333333331,0.0,3,0,0.4666666666666666,51.33333333333333,99.99999999999999,1,0.08666666666666661,4.33333333333333,19.33333333333333,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.24000000000000005,18.000000000000004,44.0,1,81.0,201.0
14,92.99999999999999,235.0,0.3957446808510638,0.32845826366426256,0.18732608607234771,2,0,2,none,0,0,3452.9898989898984,188.66666666666666,0.0,3,0,0.4666666666666666,51.33333333333333,99.99999999999999,1,0.11333333333333327,5.666666666666663,20.666666666666664,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.48,36.0,68.0,1,81.0,0.0
15,88.33333333333333,235.0,0.375886524822695,0.31606199503418037,0.18485441290540075,3,1,4,none,0,0,3635.292929292929,182.30303030303028,0.25,3,0,0.4242424242424242,46.666666666666664,93.63636363636363,1,0.11333333333333327,5.666666666666663,20.666666666666664,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.48,36.0,68.0,1,120.0,0.0
16,87.0,235.0,0.3702127659574468,0.31607721224555746,0.1793444823649139,2,0,2,none,0,0,3816.262626262626,180.96969696969694,0.0,3,0,0.4242424242424242,46.666666666666664,93.63636363636363,1,0.08666666666666661,4.33333333333333,19.33333333333333,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.48,36.0,68.0,1,120.0,0.0
17,99.66666666666666,235.0,0.4241134751773049,0.31503332942341195,0.174328503433842,2,0,2,none,0,0,4012.9898989898984,196.7272727272727,0.0,3,0,0.6515151515151514,71.66666666666666,127.7272727272727,1,0.19999999999999993,9.999999999999996,24.999999999999996,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.24,18.0,44.0,1,0.0,0.0
18,76.66666666666666,235.0,0.326241134751773,0.3089402912532923,0.17071626978686236,2,1,3,none,0,0,4178.838383838383,165.84848484848484,0.3333333333333333,3,0,0.45454545454545453,50.0,98.18181818181817,1,0.17333333333333326,8.666666666666663,23.666666666666664,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.24,18.0,44.0,1,0.0,100.0
19,30.666666666666664,235.0,0.13049645390070921,0.29660494269761417,0.17011275442290696,1,0,1,none,0,0,4283.555555555555,104.71717171717171,0.0,3,0,0.21515151515151515,23.666666666666668,62.27272727272727,1,0.11333333333333324,5.6666666666666625,20.666666666666664,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.017777777777777778,1.3333333333333333,21.77777777777778,1,0.0,100.0
20,145.66666666666666,235.0,0.6198581560283688,0.284806160995005,0.16860891561087163,4,1,5,none,0,0,4536.050505050504,252.4949494949495,0.2,3,0,0.8151515151515152,89.66666666666667,152.27272727272728,1,0.5666666666666667,28.333333333333332,43.33333333333333,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.3688888888888889,27.666666666666664,56.888888888888886,1,100.0,0.0
21,161.66666666666666,235.0,0.6879432624113475,0.284806160995005,0.16860891561087163,1,1,2,none,0,0,4810.363636363636,274.3131313131313,0.5,3,0,0.9606060606060606,105.66666666666666,174.0909090909091,1,0.5666666666666667,28.333333333333332,43.33333333333333,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.3688888888888889,27.666666666666664,56.888888888888886,1,181.0,0.0
