t,active_cpu_fog,fog_capacity,pressure,predicted_pressure,prediction_uncertainty,tasks_placed_fog,tasks_placed_cloud,arrivals,scale_decision,scale_up_total,scale_down_total,energy_joules_cumul,energy_tick,offload_ratio,active_fog_nodes,overloaded,fog_f0_p,fog_f0_load,fog_f0_power,fog_f0_active,fog_f1_p,fog_f1_load,fog_f1_power,fog_f1_active,fog_f2_p,fog_f2_load,fog_f2_power,fog_f2_active,fog_f3_p,fog_f3_load,fog_f3_power,fog_f3_active,fog_f4_p,fog_f4_load,fog_f4_power,fog_f4_active,cloud_c0_load,cloud_c1_load
0,175.33333333333334,235.0,0.7460992907801419,0.0,0.08,10,0,10,none,0,0,290.3737373737374,290.3737373737374,0.0,3,0,0.8454545454545455,93.0,156.8181818181818,1,0.6733333333333335,33.66666666666667,48.66666666666667,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.648888888888889,48.66666666666667,84.8888888888889,1,0.0,0.0
1,187.0,235.0,0.7957446808510639,0.2611347517730497,0.08,3,2,5,none,0,0,595.3939393939395,305.020202020202,0.4,3,0,0.8727272727272727,96.0,160.9090909090909,1,0.7333333333333334,36.66666666666667,51.66666666666667,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.7244444444444444,54.333333333333336,92.44444444444444,1,50.0,0.0
2,123.33333333333334,235.0,0.5248226950354611,0.2620780141843972,0.08,8,3,11,none,0,0,820.9595959595961,225.56565656565658,0.2727272727272727,3,0,0.5696969696969697,62.666666666666664,115.45454545454545,1,0.3466666666666668,17.33333333333334,32.33333333333334,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.5777777777777778,43.333333333333336,77.77777777777779,1,140.0,210.0
3,194.66666666666666,235.0,0.8283687943262411,0.2790741134751773,0.08,8,4,12,none,0,0,1135.3737373737374,314.4141414141414,0.3333333333333333,3,0,0.8909090909090908,97.99999999999999,163.63636363636363,1,0.7866666666666668,39.33333333333334,54.33333333333334,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.7644444444444445,57.333333333333336,96.44444444444444,1,261.0,390.0
4,186.0,235.0,0.7914893617021277,0.4167173226950354,0.08,4,1,5,none,0,0,1439.2323232323233,303.85858585858585,0.2,3,0,0.8909090909090908,97.99999999999999,163.63636363636363,1,0.7266666666666669,36.33333333333334,51.33333333333334,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.688888888888889,51.66666666666667,88.8888888888889,1,261.0,295.0
5,177.33333333333334,235.0,0.7546099290780143,0.4232776072695035,0.08,5,2,7,none,0,0,1733.1212121212122,293.88888888888886,0.2857142857142857,3,0,0.7999999999999998,87.99999999999999,149.99999999999997,1,0.6133333333333335,30.666666666666675,45.66666666666667,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.7822222222222223,58.66666666666667,98.22222222222223,1,337.0,205.0
6,168.66666666666666,235.0,0.7177304964539006,0.42853470004432626,0.08,6,3,9,none,0,0,2015.1212121212122,282.0,0.3333333333333333,3,0,0.7333333333333333,80.66666666666666,140.0,1,0.6200000000000001,31.000000000000007,46.00000000000001,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.76,57.0,96.0,1,232.0,220.0
7,132.0,235.0,0.5617021276595745,0.4528028741777482,0.08,4,0,4,none,0,0,2250.757575757576,235.63636363636363,0.0,3,0,0.4909090909090908,53.999999999999986,103.63636363636363,1,0.4200000000000001,21.000000000000004,36.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.76,57.0,96.0,1,132.0,220.0
8,144.66666666666666,235.0,0.6156028368794326,0.41446371218716754,0.08,8,0,8,none,0,0,2503.161616161616,252.40404040404036,0.0,3,0,0.7212121212121211,79.33333333333331,138.18181818181816,1,0.4733333333333334,23.666666666666668,38.66666666666667,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.5555555555555555,41.666666666666664,75.55555555555554,1,66.0,0.0
9,181.33333333333331,235.0,0.7716312056737588,0.387060987389744,0.08,8,1,9,none,0,0,2801.5555555555557,298.3939393939394,0.1111111111111111,3,0,0.7848484848484847,86.33333333333331,147.7272727272727,1,0.66,33.0,48.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.8266666666666665,61.99999999999999,102.66666666666666,1,0.0,66.0
10,218.66666666666663,235.0,0.930496453900709,0.5052775850657449,0.08,6,2,8,none,0,0,3145.717171717172,344.16161616161617,0.25,3,0,0.9484848484848483,104.33333333333331,172.27272727272725,1,0.9333333333333335,46.66666666666667,61.66666666666667,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.9022222222222221,67.66666666666666,110.22222222222221,1,51.333333333333336,166.0
11,210.33333333333331,235.0,0.8950354609929078,0.448055423760648,0.1916454600895874,5,1,6,none,0,0,3480.1414141414143,334.4242424242424,0.16666666666666666,3,0,0.9606060606060606,105.66666666666666,174.0909090909091,1,0.8533333333333334,42.66666666666667,57.66666666666667,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.8266666666666665,61.99999999999999,102.66666666666666,1,171.33333333333334,166.0
12,166.33333333333331,235.0,0.7078014184397162,0.4568905761512716,0.18851781490811723,5,3,8,none,0,0,3761.2828282828286,281.1414141414141,0.375,3,0,0.909090909090909,99.99999999999999,166.36363636363635,1,0.5200000000000001,26.000000000000007,41.00000000000001,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.5377777777777778,40.333333333333336,73.77777777777777,1,361.33333333333337,90.0
13,210.33333333333331,235.0,0.8950354609929078,0.46470149608585215,0.18320161321488604,8,2,10,none,0,0,4095.1717171717173,333.88888888888886,0.2,3,0,0.9999999999999999,109.99999999999999,179.99999999999997,1,0.8933333333333334,44.66666666666667,59.66666666666667,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.7422222222222223,55.66666666666667,94.22222222222223,1,215.00000000000003,118.33333333333333
14,206.0,235.0,0.8765957446808511,0.4678501450438975,0.17860178135360455,6,1,7,none,0,0,4424.121212121212,328.9494949494949,0.14285714285714285,3,0,0.9848484848484848,108.33333333333333,177.72727272727272,1,0.8400000000000002,42.00000000000001,57.00000000000001,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.7422222222222223,55.66666666666667,94.22222222222223,1,181.00000000000003,118.33333333333333
15,221.0,235.0,0.9404255319148936,0.4735332601269379,0.17901011992859925,6,4,10,none,0,0,4773.070707070707,348.9494949494949,0.4,3,0,0.9848484848484848,108.33333333333333,177.72727272727272,1,0.8400000000000002,42.00000000000001,57.00000000000001,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.9422222222222223,70.66666666666667,114.22222222222223,1,306.0,167.99999999999997
16,192.66666666666669,235.0,0.8198581560283689,0.48640920305260965,0.18132707951495255,4,1,5,none,0,0,5085.707070707071,312.6363636363636,0.2,3,0,0.9575757575757575,105.33333333333333,173.63636363636363,1,0.7466666666666668,37.33333333333334,52.33333333333334,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.6666666666666666,50.0,86.66666666666666,1,396.0,139.66666666666663
17,197.66666666666669,235.0,0.8411347517730497,0.48860323043048665,0.18136392362769813,9,2,11,none,0,0,5405.717171717171,320.01010101010104,0.18181818181818182,3,0,0.903030303030303,99.33333333333333,165.45454545454544,1,0.6933333333333336,34.66666666666668,49.66666666666668,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.8488888888888888,63.666666666666664,104.88888888888889,1,90.0,147.66666666666663
