t,active_cpu_fog,fog_capacity,pressure,worst_fog_pressure,predicted_pressure,prediction_uncertainty,lstm_fallback_used,dqn_fallback_used_tasks,scale_decision,offload_ratio,offload_reason,tasks_on_fog,tasks_on_cloud,tasks_placed_fog,tasks_placed_cloud,fog_nodes_used_tick,cloud_nodes_used_tick,scale_up_total,scale_down_total,energy_joules_cumul
0,91,415,0.21927710843373494,0.8181818181818182,0.21927710843373494,0.1,1,2,none,0.0,,2,0,2,0,2,0,0,0,624.3062200956938
1,157,415,0.3783132530120482,0.8181818181818182,0.3783132530120482,0.1,1,1,none,0.0,,3,0,1,0,1,0,0,0,1352.8229665071772
2,183,415,0.44096385542168676,0.8181818181818182,0.44096385542168676,0.1,1,2,none,0.0,,5,0,2,0,2,0,0,0,2127.457359977484
3,188,415,0.4530120481927711,0.8181818181818182,0.4530120481927711,0.1,1,2,none,0.0,,6,0,2,0,2,0,0,0,2912.091753447791
4,98,415,0.236144578313253,0.8181818181818182,0.236144578313253,0.1,1,2,none,0.0,,5,0,2,0,2,0,0,0,3550.1626794258373
5,99,415,0.2385542168674699,0.8181818181818182,0.2385542168674699,0.1,1,1,none,0.0,,6,0,1,0,1,0,0,0,4191.233605403884
6,29,415,0.06987951807228916,0.2,0.06987951807228916,0.1,1,3,none,0.0,,6,0,3,0,3,0,0,0,4738.816493104419
7,145,415,0.3493975903614458,0.8727272727272727,0.3493975903614458,0.1,1,3,none,0.0,,9,0,3,0,2,0,0,0,5454.607936954687
8,208,415,0.5012048192771085,0.8727272727272727,0.5012048192771085,0.1,1,4,none,0.0,,10,1,3,1,3,1,0,0,6306.792569659443
9,219,415,0.5277108433734939,0.68,0.5277108433734939,0.1,1,5,none,0.0,,8,2,4,1,2,1,0,0,7182.349845201239
10,212,415,0.5108433734939759,0.68,1.1221664329465613,0.2653014348973436,0,6,none,0.6096343007904661,demand/capacity=1.25,13,2,6,0,2,0,0,0,8056.543484379398
11,147,415,0.3542168674698795,0.5368421052631579,1.1221664329465613,0.2653014348973436,0,2,none,0.6096343007904661,demand/capacity=1.25,10,1,1,1,1,1,0,0,8796.88263439347
12,193,415,0.4650602409638554,0.8631578947368421,1.1221664329465613,0.2653014348973436,0,4,none,0.6096343007904661,demand/capacity=1.25,10,2,3,1,2,1,0,0,9622.666479031805
13,154,415,0.3710843373493976,0.8631578947368421,1.1221664329465613,0.2653014348973436,0,2,none,0.6096343007904661,demand/capacity=1.25,5,2,2,0,2,0,0,0,10372.685617787785
14,173,415,0.41686746987951806,0.8631578947368421,1.1221664329465613,0.2653014348973436,0,2,none,0.6096343007904661,demand/capacity=1.25,7,0,2,0,2,0,0,0,11161.704756543766
15,86,415,0.20722891566265061,0.43157894736842106,1.1221664329465613,0.2653014348973436,0,4,none,0.6096343007904661,demand/capacity=1.25,8,1,3,1,2,1,0,0,11804.81058260625
16,85,415,0.20481927710843373,0.42105263157894735,1.1221664329465613,0.2653014348973436,0,0,none,0.6096343007904661,demand/capacity=1.25,7,1,2,0,1,0,0,0,12444.428370391219
17,97,415,0.23373493975903614,0.42105263157894735,1.1221664329465613,0.2653014348973436,0,0,none,0.6096343007904661,demand/capacity=1.25,8,0,2,0,2,0,0,0,13102.163805235014
18,75,415,0.18072289156626506,0.29411764705882354,1.1221664329465613,0.2653014348973436,0,0,none,0.6096343007904661,demand/capacity=1.25,7,1,2,1,1,1,0,0,13722.812552772306
19,29,415,0.06987951807228916,0.24210526315789474,1.1221664329465613,0.2653014348973436,0,0,none,0.6096343007904661,demand/capacity=1.25,4,1,1,0,1,0,0,0,14270.491978609627
20,144,415,0.3469879518072289,0.6090909090909091,0.7144578313253012,0.2044951752757475,0,0,none,0.0,low pressure,7,1,4,1,4,1,0,0,15001.289051505772
21,160,415,0.3855421686746988,0.6090909090909091,0.7144578313253012,0.2044951752757475,0,0,none,0.0,low pressure,6,2,1,1,1,1,0,0,15757.349282296653
22,146,415,0.35180722891566263,0.6090909090909091,0.7144578313253012,0.2044951752757475,0,0,none,0.0,low pressure,6,2,1,1,1,1,0,0,16488.70363073459
23,51,415,0.12289156626506025,0.4105263157894737,0.7144578313253012,0.2044951752757475,0,0,none,0.0,low pressure,3,2,0,0,0,0,0,0,17072.694342808896
24,70,415,0.1686746987951807,0.24210526315789474,0.7144578313253012,0.2044951752757475,0,0,none,0.0,low pressure,5,0,4,0,3,0,0,0,17688.967351533916
25,104,415,0.25060240963855424,0.4588235294117647,0.7144578313253012,0.2044951752757475,0,0,none,0.0,low pressure,7,0,3,0,2,0,0,0,18372.65212496482
26,107,415,0.25783132530120484,0.4588235294117647,0.7144578313253012,0.2044951752757475,0,0,none,0.0,low pressure,8,0,1,0,1,0,0,0,19065.336898395726
