t,active_cpu_fog,fog_capacity,pressure,predicted_pressure,prediction_uncertainty,scale_decision,offload_ratio,tasks_on_fog,tasks_on_cloud,tasks_placed_fog,tasks_placed_cloud
0,27,100,0.27,0.0,0.0,none,0.0,2,0,2,0
1,60,100,0.6,0.0,0.0,none,0.0,4,0,2,0
2,85,100,0.85,0.0,0.0,none,0.0,6,0,2,0
3,115,100,1.15,0.0,0.0,none,0.0,8,0,2,0
4,139,100,1.39,0.0,0.0,none,0.0,10,0,2,0
5,173,100,1.73,0.0,0.0,none,0.0,12,0,2,0
6,216,100,2.16,0.0,0.0,none,0.0,14,0,2,0
7,245,100,2.45,0.0,0.0,none,0.0,16,0,2,0
8,275,100,2.75,0.0,0.0,none,0.0,18,0,2,0
9,315,100,3.15,0.0,0.0,none,0.0,20,0,2,0
10,325,100,3.25,0.0,0.0,none,0.0,21,0,1,0
11,325,150,2.1666666666666665,2.135251994431019,0.4035091987319276,up,0.43369753231365654,21,0,0,0
12,299,150,1.9933333333333334,2.135251994431019,0.4035091987319276,up,0.43369753231365654,19,1,0,1
13,299,150,1.9933333333333334,2.135251994431019,0.4035091987319276,up,0.43369753231365654,19,1,0,0
14,232,150,1.5466666666666666,2.135251994431019,0.4035091987319276,up,0.43369753231365654,15,1,1,0
15,211,150,1.4066666666666667,2.135251994431019,0.4035091987319276,up,0.43369753231365654,14,1,0,0
16,186,150,1.24,2.135251994431019,0.4035091987319276,up,0.43369753231365654,12,1,0,1
17,159,150,1.06,2.135251994431019,0.4035091987319276,up,0.43369753231365654,10,1,0,0
18,92,150,0.6133333333333333,2.135251994431019,0.4035091987319276,up,0.43369753231365654,5,2,0,1
19,39,150,0.26,2.135251994431019,0.4035091987319276,up,0.43369753231365654,2,2,0,0
20,17,150,0.11333333333333333,2.135251994431019,0.4035091987319276,up,0.43369753231365654,1,3,0,1
21,0,100,0.0,0.176,0.16573674384464113,down,0.0,0,3,0,0
22,0,100,0.0,0.176,0.16573674384464113,down,0.0,0,4,0,1
23,0,100,0.0,0.176,0.16573674384464113,down,0.0,0,4,0,0
24,0,100,0.0,0.176,0.16573674384464113,down,0.0,0,4,0,1
25,0,100,0.0,0.176,0.16573674384464113,down,0.0,0,2,0,0
26,0,100,0.0,0.176,0.16573674384464113,down,0.0,0,2,0,0
27,0,100,0.0,0.176,0.16573674384464113,down,0.0,0,2,0,0
28,0,100,0.0,0.176,0.16573674384464113,down,0.0,0,2,0,0
29,0,100,0.0,0.176,0.16573674384464113,down,0.0,0,2,0,0
30,0,100,0.0,0.176,0.16573674384464113,down,0.0,0,1,0,0
31,0,50,0.0,0.2,0.05,down,0.0,0,0,0,0
32,0,50,0.0,0.2,0.05,down,0.0,0,0,0,0
33,0,50,0.0,0.2,0.05,down,0.0,0,0,0,0
34,0,50,0.0,0.2,0.05,down,0.0,0,0,0,0
35,0,50,0.0,0.2,0.05,down,0.0,0,0,0,0
36,0,50,0.0,0.2,0.05,down,0.0,0,0,0,0
37,0,50,0.0,0.2,0.05,down,0.0,0,0,0,0
38,0,50,0.0,0.2,0.05,down,0.0,0,0,0,0
39,0,50,0.0,0.2,0.05,down,0.0,0,0,0,0
40,0,50,0.0,0.2,0.05,down,0.0,0,0,0,0
41,0,50,0.0,0.2,0.05,none,0.0,0,0,0,0
42,0,50,0.0,0.2,0.05,none,0.0,0,0,0,0
43,0,50,0.0,0.2,0.05,none,0.0,0,0,0,0
44,0,50,0.0,0.2,0.05,none,0.0,0,0,0,0
45,0,50,0.0,0.2,0.05,none,0.0,0,0,0,0
46,0,50,0.0,0.2,0.05,none,0.0,0,0,0,0
47,0,50,0.0,0.2,0.05,none,0.0,0,0,0,0
48,0,50,0.0,0.2,0.05,none,0.0,0,0,0,0
49,0,50,0.0,0.2,0.05,none,0.0,0,0,0,0
50,0,50,0.0,0.2,0.05,none,0.0,0,0,0,0
51,0,50,0.0,0.2,0.05,none,0.0,0,0,0,0
52,0,50,0.0,0.2,0.05,none,0.0,0,0,0,0
53,0,50,0.0,0.2,0.05,none,0.0,0,0,0,0
54,0,50,0.0,0.2,0.05,none,0.0,0,0,0,0
55,0,50,0.0,0.2,0.05,none,0.0,0,0,0,0
56,0,50,0.0,0.2,0.05,none,0.0,0,0,0,0
57,0,50,0.0,0.2,0.05,none,0.0,0,0,0,0
58,0,50,0.0,0.2,0.05,none,0.0,0,0,0,0
59,0,50,0.0,0.2,0.05,none,0.0,0,0,0,0
60,0,50,0.0,0.2,0.05,none,0.0,0,0,0,0
61,0,50,0.0,0.2,0.05,none,0.0,0,0,0,0
62,0,50,0.0,0.2,0.05,none,0.0,0,0,0,0
63,0,50,0.0,0.2,0.05,none,0.0,0,0,0,0
64,0,50,0.0,0.2,0.05,none,0.0,0,0,0,0
65,0,50,0.0,0.2,0.05,none,0.0,0,0,0,0
66,0,50,0.0,0.2,0.05,none,0.0,0,0,0,0
67,0,50,0.0,0.2,0.05,none,0.0,0,0,0,0
68,0,50,0.0,0.2,0.05,none,0.0,0,0,0,0
69,0,50,0.0,0.2,0.05,none,0.0,0,0,0,0
70,0,50,0.0,0.2,0.05,none,0.0,0,0,0,0
71,0,50,0.0,0.2,0.05,none,0.0,0,0,0,0
72,0,50,0.0,0.2,0.05,none,0.0,0,0,0,0
73,0,50,0.0,0.2,0.05,none,0.0,0,0,0,0
74,0,50,0.0,0.2,0.05,none,0.0,0,0,0,0
75,0,50,0.0,0.2,0.05,none,0.0,0,0,0,0
76,0,50,0.0,0.2,0.05,none,0.0,0,0,0,0
77,0,50,0.0,0.2,0.05,none,0.0,0,0,0,0
78,0,50,0.0,0.2,0.05,none,0.0,0,0,0,0
79,0,50,0.0,0.2,0.05,none,0.0,0,0,0,0
80,0,50,0.0,0.2,0.05,none,0.0,0,0,0,0
81,0,50,0.0,0.2,0.05,none,0.0,0,0,0,0
82,0,50,0.0,0.2,0.05,none,0.0,0,0,0,0
83,0,50,0.0,0.2,0.05,none,0.0,0,0,0,0
84,0,50,0.0,0.2,0.05,none,0.0,0,0,0,0
85,0,50,0.0,0.2,0.05,none,0.0,0,0,0,0
86,0,50,0.0,0.2,0.05,none,0.0,0,0,0,0
87,0,50,0.0,0.2,0.05,none,0.0,0,0,0,0
88,0,50,0.0,0.2,0.05,none,0.0,0,0,0,0
89,0,50,0.0,0.2,0.05,none,0.0,0,0,0,0
90,0,50,0.0,0.2,0.05,none,0.0,0,0,0,0
91,0,50,0.0,0.2,0.05,none,0.0,0,0,0,0
92,0,50,0.0,0.2,0.05,none,0.0,0,0,0,0
93,0,50,0.0,0.2,0.05,none,0.0,0,0,0,0
94,0,50,0.0,0.2,0.05,none,0.0,0,0,0,0
95,0,50,0.0,0.2,0.05,none,0.0,0,0,0,0
96,0,50,0.0,0.2,0.05,none,0.0,0,0,0,0
97,0,50,0.0,0.2,0.05,none,0.0,0,0,0,0
98,0,50,0.0,0.2,0.05,none,0.0,0,0,0,0
99,0,50,0.0,0.2,0.05,none,0.0,0,0,0,0
