task_id,timestamp,service_type,cpu_demand,ram_demand,duration
0,0,Monitoring,12,189,6
1,0,Monitoring,9,410,10
2,1,Monitoring,14,80,5
3,1,Monitoring,11,322,9
4,3,Monitoring,18,423,9
5,3,Monitoring,15,365,7
6,6,Monitoring,12,143,6
7,6,ImageAnalysis,13,116,5
8,7,Monitoring,13,373,7
9,9,Monitoring,9,257,5
10,9,IrrigationControl,18,380,7
11,10,Monitoring,9,87,10
12,10,Monitoring,12,104,6
13,12,Monitoring,18,491,7
14,14,Monitoring,18,200,10
15,15,IrrigationControl,17,389,6
16,15,Monitoring,11,147,8
17,16,Monitoring,18,416,9
18,18,Monitoring,8,181,5
19,18,IrrigationControl,14,201,5
20,20,ImageAnalysis,20,172,11
21,20,Monitoring,24,137,8
22,20,Monitoring,18,446,10
23,20,Monitoring,22,249,7
24,21,Monitoring,12,450,6
25,21,ImageAnalysis,14,385,7
26,22,Monitoring,12,261,9
27,22,IrrigationControl,24,334,8
28,22,ImageAnalysis,10,412,11
29,22,Monitoring,18,457,11
30,23,Monitoring,23,144,9
31,23,Monitoring,18,320,12
32,23,Monitoring,13,509,11
33,24,IrrigationControl,26,375,7
34,24,Monitoring,15,340,12
35,24,ImageAnalysis,10,370,8
36,25,Monitoring,21,489,12
37,25,Monitoring,11,187,10
38,25,ImageAnalysis,12,438,9
39,26,ImageAnalysis,14,129,11
40,26,Monitoring,15,199,10
41,27,Monitoring,16,340,12
42,27,IrrigationControl,16,429,8
43,27,Monitoring,21,288,10
44,27,Monitoring,17,179,6
45,28,Monitoring,17,365,7
46,28,Monitoring,11,181,6
47,28,ImageAnalysis,20,100,10
48,29,Monitoring,25,173,10
49,29,Monitoring,25,188,12
50,30,IrrigationControl,16,112,6
51,30,IrrigationControl,21,280,9
52,30,Monitoring,11,408,11
53,31,Monitoring,22,436,8
54,31,IrrigationControl,13,191,7
55,31,Monitoring,24,135,9
56,31,Monitoring,24,191,12
57,32,Monitoring,13,89,11
58,32,ImageAnalysis,10,111,12
