task_id,timestamp,service_type,cpu_demand,ram_demand,duration
0,0,Monitoring,14,364,12
1,0,IrrigationControl,13,360,14
2,1,Monitoring,12,391,13
3,1,IrrigationControl,21,408,13
4,2,Monitoring,12,182,10
5,2,Monitoring,13,210,14
6,3,IrrigationControl,14,326,14
7,3,ImageAnalysis,16,422,11
8,4,Monitoring,12,424,10
9,4,Monitoring,12,212,12
10,5,Monitoring,13,395,14
11,5,Monitoring,21,462,10
12,6,Monitoring,21,362,12
13,6,Monitoring,22,486,13
14,7,Monitoring,13,291,10
15,7,ImageAnalysis,16,316,11
16,8,IrrigationControl,13,410,10
17,8,Monitoring,17,494,13
18,9,Monitoring,18,436,10
19,9,Monitoring,22,172,11
20,10,IrrigationControl,10,91,8
21,12,Monitoring,6,101,4
22,14,Monitoring,7,96,4
23,16,ImageAnalysis,11,94,8
24,18,Monitoring,13,151,7
25,20,Monitoring,6,87,5
26,22,IrrigationControl,12,113,8
27,24,Monitoring,12,147,7
