TaskName,GenerationTime,TaskID,TaskSize,CyclesPerBit,TransBitRate,DDL,SrcName
t0,0.0,0,42,344,40,53,n5
t1,0.0,1,78,741,20,83,n9
t2,1.0,2,24,264,30,56,n24
t3,2.0,3,16,127,10,61,n9
t4,4.0,4,35,644,20,42,n22
t5,5.0,5,85,869,10,75,n12
t6,8.0,6,77,746,30,40,n5
t7,8.0,7,84,405,30,27,n18
t8,9.0,8,51,678,40,50,n24
t9,10.0,9,27,708,10,90,n21
t10,14.0,10,45,769,20,20,n24
t11,15.0,11,89,349,40,70,n6
t12,15.0,12,54,463,40,98,n24
t13,16.0,13,87,422,30,50,n16
t14,17.0,14,100,585,30,95,n3
t15,17.0,15,80,859,10,91,n14
t16,18.0,16,90,801,30,58,n3
t17,19.0,17,85,144,20,47,n9
t18,19.0,18,95,497,30,55,n11
t19,20.0,19,46,399,10,97,n13
t20,20.0,20,45,354,30,63,n17
t21,21.0,21,78,248,40,44,n17
t22,25.0,22,17,214,20,35,n7
t23,25.0,23,90,994,30,94,n24
t24,26.0,24,96,967,20,56,n20
t25,27.0,25,65,379,30,29,n12
t26,28.0,26,88,488,30,45,n14
t27,28.0,27,23,345,10,38,n18
t28,28.0,28,85,842,10,41,n20
t29,30.0,29,22,620,10,25,n11
t30,37.0,30,91,475,20,55,n0
t31,37.0,31,88,466,20,20,n6
t32,37.0,32,63,846,10,75,n17
t33,40.0,33,89,324,30,22,n1
t34,40.0,34,36,921,40,49,n9
t35,40.0,35,53,426,10,21,n11
t36,40.0,36,99,797,40,28,n17
t37,41.0,37,25,786,40,86,n14
t38,41.0,38,14,449,20,39,n19
t39,41.0,39,74,192,30,20,n21
t40,42.0,40,66,884,10,66,n14
t41,44.0,41,76,530,30,27,n13
t42,48.0,42,28,680,10,44,n20
t43,51.0,43,68,734,40,26,n7
t44,51.0,44,38,521,10,67,n22
t45,53.0,45,15,528,30,77,n9
t46,53.0,46,56,170,10,80,n23
t47,54.0,47,59,101,30,90,n6
t48,55.0,48,10,366,20,33,n1
t49,56.0,49,33,956,10,57,n9
t50,57.0,50,53,509,20,84,n10
t51,58.0,51,78,829,40,92,n23
t52,59.0,52,64,596,10,75,n3
t53,59.0,53,20,190,40,59,n10
t54,60.0,54,58,993,30,40,n0
t55,60.0,55,63,901,20,50,n13
t56,60.0,56,83,857,20,41,n20
t57,62.0,57,56,694,40,52,n3
t58,65.0,58,100,392,30,34,n21
t59,66.0,59,16,130,10,78,n3
t60,67.0,60,24,534,40,83,n21
t61,71.0,61,38,336,10,76,n2
t62,73.0,62,79,401,10,92,n12
t63,76.0,63,12,755,30,31,n7
t64,76.0,64,16,327,10,72,n14
t65,79.0,65,59,591,40,26,n0
t66,80.0,66,38,179,30,91,n16
t67,81.0,67,96,197,40,90,n4
t68,81.0,68,60,572,10,46,n8
t69,83.0,69,44,465,40,47,n11
t70,85.0,70,62,991,30,58,n12
t71,86.0,71,99,994,10,38,n23
t72,86.0,72,96,225,10,86,n24
t73,88.0,73,84,481,40,78,n6
t74,89.0,74,69,480,10,29,n22
t75,89.0,75,67,803,20,36,n22
t76,90.0,76,24,199,10,77,n2
t77,91.0,77,11,169,30,67,n6
t78,93.0,78,58,177,40,87,n9
t79,93.0,79,78,589,40,40,n21
t80,94.0,80,81,333,40,24,n7
t81,95.0,81,70,633,20,35,n0
t82,95.0,82,79,747,20,57,n14
t83,96.0,83,42,597,10,58,n1
t84,97.0,84,56,776,30,43,n2
t85,97.0,85,77,698,30,47,n18
t86,98.0,86,47,422,20,99,n14
t87,100.0,87,89,613,30,63,n3
t88,100.0,88,33,889,40,23,n11
t89,100.0,89,41,735,10,63,n14
t90,101.0,90,52,729,20,84,n14
t91,103.0,91,99,304,20,75,n22
t92,104.0,92,96,927,40,81,n7
t93,106.0,93,56,403,40,92,n16
t94,107.0,94,51,219,40,28,n22
t95,110.0,95,59,387,30,86,n19
t96,111.0,96,46,278,30,39,n9
t97,113.0,97,53,222,10,48,n9
t98,113.0,98,73,624,30,23,n24
t99,114.0,99,76,527,40,99,n8
t100,114.0,100,91,971,30,60,n15
t101,114.0,101,53,831,10,64,n24
t102,117.0,102,28,532,40,70,n21
t103,118.0,103,78,526,30,93,n5
t104,118.0,104,40,735,40,39,n16
t105,119.0,105,83,105,30,26,n11
t106,119.0,106,34,296,20,78,n13
t107,121.0,107,76,327,20,71,n1
t108,121.0,108,64,775,10,34,n2
t109,121.0,109,11,409,20,80,n14
t110,122.0,110,50,857,30,94,n24
t111,123.0,111,96,175,40,34,n0
t112,124.0,112,11,935,10,48,n0
t113,124.0,113,74,149,30,29,n10
t114,124.0,114,86,661,30,91,n14
t115,124.0,115,29,920,10,74,n18
t116,126.0,116,89,225,10,37,n12
t117,127.0,117,78,726,40,22,n5
t118,128.0,118,79,884,40,45,n4
t119,128.0,119,39,865,20,53,n7
t120,130.0,120,30,954,20,77,n13
t121,130.0,121,77,993,30,91,n21
t122,131.0,122,62,277,30,69,n8
t123,133.0,123,96,813,10,51,n1
t124,133.0,124,48,466,40,29,n22
t125,134.0,125,87,690,20,67,n12
t126,136.0,126,52,852,10,70,n0
t127,136.0,127,70,820,30,60,n3
t128,137.0,128,55,398,40,73,n20
t129,138.0,129,32,104,10,89,n18
t130,140.0,130,44,265,10,36,n5
t131,141.0,131,67,331,40,35,n16
t132,142.0,132,13,732,40,31,n9
t133,142.0,133,30,622,20,35,n19
t134,143.0,134,48,805,20,100,n18
t135,144.0,135,92,398,30,56,n14
t136,146.0,136,91,624,10,94,n12
t137,147.0,137,97,649,30,63,n11
t138,148.0,138,76,356,10,80,n23
t139,150.0,139,60,105,10,37,n14
t140,150.0,140,11,426,10,48,n18
t141,150.0,141,94,892,40,91,n21
t142,151.0,142,21,269,30,68,n2
t143,151.0,143,22,806,10,45,n5
t144,151.0,144,54,448,30,43,n20
t145,151.0,145,80,698,30,67,n22
t146,154.0,146,58,985,40,90,n22
t147,155.0,147,27,670,20,23,n12
t148,156.0,148,48,370,10,30,n19
t149,159.0,149,94,392,20,35,n4
t150,161.0,150,27,690,10,92,n6
t151,163.0,151,50,142,40,44,n0
t152,163.0,152,77,855,10,58,n19
t153,165.0,153,72,898,30,85,n10
t154,165.0,154,50,992,10,100,n10
t155,168.0,155,44,138,10,28,n16
t156,172.0,156,63,589,40,54,n10
t157,172.0,157,50,246,10,56,n20
t158,173.0,158,100,828,40,46,n6
t159,176.0,159,38,471,10,60,n2
t160,180.0,160,78,252,30,80,n13
t161,181.0,161,10,509,30,82,n1
t162,181.0,162,28,808,30,94,n17
t163,184.0,163,59,484,30,52,n10
t164,185.0,164,92,782,30,33,n13
t165,185.0,165,10,714,40,83,n24
t166,186.0,166,36,229,40,55,n22
t167,187.0,167,53,325,40,60,n5
t168,189.0,168,47,933,40,96,n13
t169,189.0,169,58,614,40,28,n18
t170,190.0,170,87,286,40,60,n9
t171,190.0,171,58,987,10,39,n14
t172,193.0,172,36,919,30,72,n10
t173,193.0,173,88,942,10,53,n13
t174,193.0,174,31,359,10,41,n21
t175,194.0,175,69,689,40,63,n8
t176,195.0,176,35,651,40,35,n3
t177,195.0,177,49,597,40,28,n9
t178,195.0,178,23,176,20,90,n13
t179,195.0,179,85,458,40,29,n15
t180,195.0,180,54,578,20,38,n15
t181,197.0,181,94,150,40,38,n8
t182,198.0,182,15,917,40,34,n4
t183,200.0,183,17,566,30,37,n4
t184,201.0,184,74,851,10,31,n0
t185,204.0,185,26,508,40,59,n6
t186,208.0,186,59,725,20,64,n19
t187,208.0,187,45,144,40,44,n24
t188,209.0,188,95,277,40,81,n0
t189,211.0,189,92,406,20,64,n12
t190,213.0,190,88,276,40,90,n13
t191,214.0,191,28,268,20,26,n3
t192,218.0,192,92,328,40,57,n5
t193,218.0,193,33,690,40,49,n7
t194,221.0,194,42,628,20,24,n4
t195,221.0,195,26,983,30,67,n20
t196,222.0,196,33,118,40,95,n1
t197,222.0,197,35,573,40,39,n7
t198,222.0,198,30,397,10,34,n21
t199,222.0,199,68,421,30,33,n23
t200,223.0,200,18,705,30,33,n4
t201,224.0,201,39,826,10,29,n7
t202,224.0,202,84,559,10,69,n8
t203,225.0,203,99,951,10,100,n2
t204,225.0,204,12,595,10,38,n15
t205,227.0,205,42,731,30,68,n23
t206,229.0,206,33,953,30,85,n18
t207,231.0,207,88,106,30,95,n9
t208,231.0,208,66,802,40,60,n19
t209,231.0,209,93,227,40,29,n22
t210,231.0,210,15,255,40,67,n24
t211,232.0,211,75,663,40,94,n3
t212,232.0,212,25,815,10,50,n17
t213,232.0,213,41,317,30,50,n24
t214,233.0,214,84,547,10,78,n1
t215,233.0,215,61,488,40,96,n16
t216,233.0,216,88,610,20,20,n18
t217,234.0,217,20,268,30,58,n0
t218,234.0,218,76,415,20,53,n3
t219,235.0,219,15,150,10,92,n13
t220,235.0,220,44,748,40,38,n16
t221,238.0,221,96,609,30,84,n6
t222,239.0,222,14,118,30,65,n3
t223,239.0,223,44,758,40,24,n12
t224,240.0,224,70,326,20,77,n23
t225,242.0,225,68,221,10,66,n1
t226,248.0,226,14,701,40,96,n6
t227,251.0,227,36,767,20,42,n23
t228,252.0,228,19,920,30,97,n0
t229,252.0,229,28,503,20,98,n2
t230,255.0,230,68,962,40,34,n9
t231,257.0,231,27,975,30,92,n5
t232,257.0,232,33,411,10,76,n23
t233,259.0,233,10,822,30,23,n4
t234,261.0,234,64,874,20,23,n15
t235,262.0,235,78,415,20,51,n7
t236,263.0,236,76,173,20,95,n15
t237,264.0,237,66,775,30,42,n24
t238,267.0,238,37,369,40,46,n4
