TaskName,GenerationTime,TaskID,TaskSize,CyclesPerBit,TransBitRate,DDL,SrcName
t0,0.0,0,93,417,30,78,n1
t1,2.0,1,29,429,20,82,n1
t2,2.0,2,61,818,20,59,n22
t3,2.0,3,98,361,30,24,n22
t4,3.0,4,27,231,10,76,n1
t5,4.0,5,53,258,20,23,n15
t6,4.0,6,49,941,30,57,n15
t7,4.0,7,72,774,10,50,n18
t8,5.0,8,40,338,10,94,n0
t9,5.0,9,24,762,40,55,n5
t10,5.0,10,14,667,10,68,n13
t11,5.0,11,87,991,10,88,n21
t12,6.0,12,68,700,20,50,n14
t13,6.0,13,35,736,40,98,n15
t14,7.0,14,88,109,30,30,n19
t15,8.0,15,92,448,10,75,n7
t16,9.0,16,49,811,30,83,n7
t17,9.0,17,64,142,10,80,n14
t18,9.0,18,31,134,20,32,n20
t19,12.0,19,95,417,30,91,n8
t20,14.0,20,56,320,20,91,n23
t21,14.0,21,17,756,30,23,n25
t22,17.0,22,82,109,20,37,n12
t23,17.0,23,99,101,10,20,n14
t24,18.0,24,72,104,10,51,n0
t25,18.0,25,30,282,40,82,n16
t26,20.0,26,41,205,20,67,n3
t27,21.0,27,39,194,40,47,n4
t28,22.0,28,10,884,40,91,n1
t29,22.0,29,63,800,40,59,n5
t30,22.0,30,58,393,20,38,n22
t31,23.0,31,73,190,40,71,n5
t32,26.0,32,19,705,10,89,n2
t33,28.0,33,29,578,30,93,n1
t34,28.0,34,27,165,40,59,n15
t35,29.0,35,55,240,30,68,n1
t36,29.0,36,44,734,10,24,n10
t37,30.0,37,85,811,10,39,n8
t38,30.0,38,64,425,40,39,n14
t39,31.0,39,94,879,10,77,n27
t40,33.0,40,72,264,40,72,n11
t41,33.0,41,14,649,30,26,n24
t42,35.0,42,14,588,40,47,n21
t43,36.0,43,90,795,10,67,n24
t44,36.0,44,58,611,40,63,n28
t45,38.0,45,96,858,40,89,n19
t46,40.0,46,94,330,20,99,n6
t47,40.0,47,99,116,20,75,n12
t48,41.0,48,28,582,30,41,n10
t49,41.0,49,12,919,10,95,n26
t50,41.0,50,75,185,30,94,n27
t51,42.0,51,18,438,40,97,n8
t52,42.0,52,87,969,20,24,n15
t53,46.0,53,60,438,40,100,n29
t54,46.0,54,28,683,40,23,n29
t55,48.0,55,42,924,10,43,n16
t56,51.0,56,36,838,40,57,n12
t57,52.0,57,40,270,40,73,n22
t58,52.0,58,17,357,10,45,n25
t59,55.0,59,35,352,20,76,n4
t60,55.0,60,95,687,20,70,n11
t61,56.0,61,56,597,10,61,n6
t62,56.0,62,12,570,30,53,n21
t63,57.0,63,72,111,20,91,n14
t64,57.0,64,44,532,40,83,n19
t65,57.0,65,68,683,30,60,n21
t66,57.0,66,44,846,10,61,n21
t67,57.0,67,27,416,10,62,n24
t68,58.0,68,27,416,20,81,n2
t69,59.0,69,15,952,30,89,n16
t70,59.0,70,20,538,30,74,n23
t71,60.0,71,53,850,40,61,n2
t72,61.0,72,59,290,30,25,n4
t73,63.0,73,94,565,30,82,n0
t74,63.0,74,15,919,20,45,n8
t75,63.0,75,24,328,40,91,n25
t76,63.0,76,48,956,10,26,n28
t77,64.0,77,79,540,30,79,n3
t78,65.0,78,17,570,40,38,n23
t79,66.0,79,50,614,20,44,n7
t80,66.0,80,78,796,10,57,n21
t81,67.0,81,37,219,30,94,n8
t82,67.0,82,67,342,10,95,n17
t83,67.0,83,24,790,10,49,n27
t84,68.0,84,20,263,40,40,n29
t85,69.0,85,66,985,40,95,n25
t86,70.0,86,13,663,10,88,n6
t87,70.0,87,97,496,20,100,n28
t88,71.0,88,29,231,10,83,n0
t89,71.0,89,59,764,20,91,n7
t90,73.0,90,85,398,40,96,n0
t91,77.0,91,95,411,40,68,n27
t92,78.0,92,70,944,10,81,n25
t93,80.0,93,97,544,20,88,n10
t94,80.0,94,71,851,40,58,n14
t95,80.0,95,96,518,10,20,n22
t96,81.0,96,83,325,40,56,n19
t97,83.0,97,94,894,20,22,n1
t98,83.0,98,77,881,30,23,n29
t99,85.0,99,87,755,20,62,n13
t100,86.0,100,19,123,30,89,n28
t101,87.0,101,25,741,20,48,n15
t102,88.0,102,96,411,10,33,n19
t103,89.0,103,85,165,10,21,n6
t104,89.0,104,12,584,20,34,n16
t105,89.0,105,89,112,10,95,n19
t106,92.0,106,29,458,40,92,n21
t107,92.0,107,42,101,20,46,n25
t108,93.0,108,23,164,10,22,n24
t109,94.0,109,58,174,40,39,n2
t110,94.0,110,20,897,40,51,n8
t111,95.0,111,49,333,10,62,n11
t112,95.0,112,35,461,30,77,n28
t113,96.0,113,79,246,40,48,n9
t114,96.0,114,97,766,40,69,n13
t115,98.0,115,94,821,40,30,n4
t116,98.0,116,41,526,40,82,n7
t117,100.0,117,43,396,20,81,n4
t118,103.0,118,91,613,30,81,n8
t119,103.0,119,34,770,10,71,n21
t120,103.0,120,96,865,20,62,n27
t121,104.0,121,100,550,10,35,n5
t122,104.0,122,48,257,20,86,n18
t123,104.0,123,53,201,10,83,n21
t124,106.0,124,86,265,40,80,n17
t125,108.0,125,28,870,20,47,n9
t126,111.0,126,78,689,20,23,n28
t127,113.0,127,79,232,30,23,n16
t128,114.0,128,13,802,10,22,n24
t129,116.0,129,10,144,20,44,n3
t130,117.0,130,77,440,40,83,n5
t131,117.0,131,28,763,30,34,n24
t132,118.0,132,45,219,30,32,n5
t133,118.0,133,84,845,20,94,n24
t134,119.0,134,47,516,20,36,n2
t135,119.0,135,42,443,30,86,n16
t136,120.0,136,85,277,10,72,n9
t137,120.0,137,95,673,10,33,n23
t138,122.0,138,21,629,40,52,n0
t139,122.0,139,89,888,40,55,n6
t140,122.0,140,73,412,10,51,n18
t141,123.0,141,12,830,20,29,n28
t142,124.0,142,47,100,10,96,n0
t143,127.0,143,78,794,20,59,n6
t144,128.0,144,52,270,20,33,n16
t145,130.0,145,11,939,30,47,n18
t146,131.0,146,26,535,40,92,n1
t147,131.0,147,36,274,30,67,n16
t148,132.0,148,54,349,30,33,n29
t149,133.0,149,94,737,30,24,n17
t150,133.0,150,24,107,30,21,n25
t151,134.0,151,92,223,20,89,n19
t152,140.0,152,43,758,20,70,n7
t153,140.0,153,32,825,30,37,n9
t154,140.0,154,75,494,40,76,n20
t155,141.0,155,88,469,40,69,n5
t156,142.0,156,16,170,20,89,n18
t157,142.0,157,78,163,10,65,n20
t158,143.0,158,50,619,30,66,n24
t159,146.0,159,93,351,30,98,n3
t160,146.0,160,87,951,30,84,n10
t161,147.0,161,67,226,20,58,n2
t162,148.0,162,56,723,10,88,n5
t163,148.0,163,24,494,20,25,n6
t164,148.0,164,26,656,20,69,n21
t165,149.0,165,19,351,40,85,n1
t166,149.0,166,11,145,20,57,n11
t167,151.0,167,93,910,40,44,n2
t168,152.0,168,62,674,10,79,n1
t169,152.0,169,14,926,30,59,n5
t170,153.0,170,78,530,30,75,n8
t171,154.0,171,11,489,40,68,n22
t172,155.0,172,45,538,30,22,n18
t173,157.0,173,35,716,30,96,n2
t174,157.0,174,49,686,20,30,n3
t175,157.0,175,33,721,10,63,n22
