t,pool_active_cpu_fog,pool_fog_capacity,pool_pressure,predicted_pressure,prediction_uncertainty,offload_ratio,tasks_placed_fog,tasks_placed_cloud,scale_decision,fog_f0_p,fog_f0_power,fog_f1_p,fog_f1_power,fog_f2_p,fog_f2_power,fog_f3_p,fog_f3_power,fog_f4_p,fog_f4_power,cloud_c0_load,cloud_c1_load
0,91.3333,185.0,0.493694,0.0,0.05,0.0,2,0,down,0.818182,152.7273,0.0,0.0,0.0,0.0,0.0,0.0,0.017778,21.7778,0.0,0.0
1,157.3333,185.0,0.85045,0.172793,0.246847,0.0,1,0,none,0.818182,152.7273,0.0,0.0,0.0,0.0,0.0,0.0,0.897778,109.7778,0.0,0.0
2,158.6667,185.0,0.857658,0.409973,0.348692,0.300901,1,1,none,0.830303,154.5455,0.0,0.0,0.0,0.0,0.0,0.0,0.897778,109.7778,0.05,0.0
3,164.3333,185.0,0.888288,0.396392,0.303805,0.0,2,0,none,0.881818,162.2727,0.0,0.0,0.0,0.0,0.0,0.0,0.897778,109.7778,0.05,0.0
4,99.6667,185.0,0.538739,0.441169,0.274403,0.0,2,0,none,0.881818,162.2727,0.0,0.0,0.0,0.0,0.0,0.0,0.035556,23.5556,0.0,0.0
5,101.0,185.0,0.545946,0.475318,0.252771,0.0,1,0,none,0.881818,162.2727,0.0,0.0,0.0,0.0,0.0,0.0,0.053333,25.3333,0.0,0.0
6,30.6667,185.0,0.165766,0.316524,0.280405,0.0,3,0,none,0.242424,66.3636,0.0,0.0,0.0,0.0,0.0,0.0,0.053333,25.3333,0.0,0.0
7,146.6667,185.0,0.792793,0.263759,0.273495,0.0,3,0,none,1.069697,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.386667,58.6667,0.0,0.0
8,299.3333,185.0,1.618018,0.443876,0.287927,0.156757,4,0,none,1.887879,180.0,0.0,0.0,0.0,0.0,0.0,0.0,1.222222,120.0,0.0,0.0
9,417.6667,280.0,1.491667,0.707258,0.359752,0.180952,3,2,emergency_up,1.418182,180.0,0.0,0.0,1.803509,145.0,0.0,0.0,1.204444,120.0,0.002667,0.022
10,360.3333,365.0,0.987215,0.899301,0.38378,0.526941,2,4,emergency_up,0.818182,152.7273,0.0,0.0,1.803509,145.0,0.101961,30.1961,1.204444,120.0,0.058667,0.069333
