task_id,timestamp,service_type,cpu_demand,ram_demand,duration
0,0,IrrigationControl,40,123,14
1,0,ImageAnalysis,195,395,33
2,0,IrrigationControl,34,122,18
3,0,ImageAnalysis,441,944,32
4,1,IrrigationControl,32,104,19
5,1,ImageAnalysis,452,287,55
6,1,ImageAnalysis,127,668,48
7,2,ImageAnalysis,416,436,49
8,2,IrrigationControl,29,86,11
9,2,ImageAnalysis,346,624,31
10,2,Monitoring,13,23,7
11,2,IrrigationControl,40,103,14
12,3,IrrigationControl,31,123,17
13,3,IrrigationControl,30,65,16
14,3,Monitoring,5,29,9
15,3,ImageAnalysis,261,375,52
16,3,ImageAnalysis,372,559,42
17,3,Monitoring,10,41,9
18,4,ImageAnalysis,455,873,33
19,4,ImageAnalysis,218,799,20
20,4,Monitoring,9,30,9
21,4,Monitoring,9,26,6
22,4,IrrigationControl,23,86,17
23,4,IrrigationControl,29,74,18
24,4,ImageAnalysis,395,717,55
25,5,Monitoring,12,26,8
26,5,ImageAnalysis,213,847,49
27,5,IrrigationControl,40,92,17
28,5,IrrigationControl,24,98,20
29,5,IrrigationControl,32,127,16
30,5,IrrigationControl,23,103,12
31,5,ImageAnalysis,318,809,30
32,6,Monitoring,14,37,9
33,6,ImageAnalysis,266,758,27
34,6,ImageAnalysis,200,608,48
35,6,ImageAnalysis,116,635,58
36,6,IrrigationControl,28,128,20
37,6,IrrigationControl,39,116,12
38,7,Monitoring,5,42,7
39,7,ImageAnalysis,381,298,40
40,7,ImageAnalysis,238,683,58
41,7,Monitoring,6,37,6
42,7,Monitoring,10,47,9
43,7,ImageAnalysis,232,464,32
44,7,Monitoring,8,49,7
45,7,IrrigationControl,26,76,18
46,7,ImageAnalysis,239,792,43
47,7,ImageAnalysis,434,398,22
48,8,ImageAnalysis,177,985,50
49,8,Monitoring,8,57,5
50,8,ImageAnalysis,484,296,49
51,8,IrrigationControl,29,75,13
52,8,ImageAnalysis,161,360,32
53,8,Monitoring,6,54,6
54,8,ImageAnalysis,379,739,43
55,9,IrrigationControl,23,110,15
56,9,Monitoring,7,60,6
57,9,ImageAnalysis,367,714,54
58,9,Monitoring,8,16,8
59,9,Monitoring,13,64,8
60,9,Monitoring,15,47,7
61,9,Monitoring,8,29,8
62,9,Monitoring,9,37,9
63,9,IrrigationControl,38,98,17
64,9,ImageAnalysis,324,680,22
65,10,Monitoring,13,60,5
66,10,IrrigationControl,24,81,17
67,10,ImageAnalysis,361,441,48
68,10,ImageAnalysis,145,716,36
69,10,Monitoring,14,29,9
70,10,Monitoring,15,30,8
71,10,Monitoring,15,43,8
72,10,IrrigationControl,36,65,12
73,10,ImageAnalysis,413,452,60
74,10,ImageAnalysis,255,824,46
75,11,ImageAnalysis,155,733,53
76,11,IrrigationControl,21,65,10
77,11,ImageAnalysis,430,1005,58
78,11,Monitoring,14,51,10
79,11,ImageAnalysis,315,283,24
80,11,IrrigationControl,33,72,19
81,11,Monitoring,11,32,7
82,11,ImageAnalysis,237,790,46
83,11,Monitoring,15,30,8
84,12,Monitoring,9,36,8
85,12,ImageAnalysis,372,534,22
86,12,Monitoring,14,16,8
87,12,IrrigationControl,36,99,13
88,12,Monitoring,6,42,7
89,12,ImageAnalysis,424,563,28
90,12,ImageAnalysis,339,666,35
91,12,ImageAnalysis,238,924,40
92,12,Monitoring,14,31,10
93,12,Monitoring,11,42,10
94,13,Monitoring,12,26,9
95,13,IrrigationControl,22,89,10
96,13,ImageAnalysis,492,651,41
97,13,IrrigationControl,27,113,17
98,13,ImageAnalysis,475,418,23
99,13,Monitoring,11,18,6
100,13,ImageAnalysis,181,498,21
101,14,IrrigationControl,24,80,14
102,14,ImageAnalysis,204,539,56
103,14,Monitoring,9,63,5
